matchid,ra,dec,filter,lightcurve_d,lightcurve_m,lightcurve_cm,lightcurve_e,lightcurve_i,lightcurve_r
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52612.33606466558,25.356199,25.358675223412227,0.031500001,hst_9453_07_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52614.30502305669,25.119301,25.122607184615944,0.0263,hst_9453_09_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52615.09689807985,25.337601,25.336226176420528,0.031399999,hst_9453_11_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52615.707459393656,25.232201,25.23670991332121,0.028200001,hst_9453_13_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52616.306695474545,25.0245,25.023412784196488,0.023800001,hst_9453_15_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52616.57511546649,25.449301,25.453671853616125,0.034400001,hst_9453_17_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52618.09953693161,25.548201,25.546271218571913,0.038600001,hst_9453_19_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52618.64462380204,25.4858,25.491175805455793,0.035,hst_9453_21_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52619.31242474541,25.4664,25.47393898955247,0.0352,hst_9453_23_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52619.57956012152,25.294201,25.29919558839437,0.031500001,hst_9453_25_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52620.31429954851,24.824499,24.827273229936768,0.0208,hst_9453_27_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52620.683512524236,25.3997,25.40651246716532,0.033300001,hst_9453_29_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52622.15031823958,25.5361,25.55227084919168,0.038400002,hst_9453_31_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52622.44794550096,24.924299,24.936251191759137,0.023,hst_9453_33_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52623.58836214361,25.578699,25.582647994642617,0.037999999,hst_9453_35_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52630.531834376045,25.4792,25.48557936270247,0.035300002,hst_9453_37_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52632.099195476854,25.038799,25.03668623089168,0.0242,hst_9453_39_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52632.39987250231,25.4391,25.439492511152125,0.033799998,hst_9453_43_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52632.53329266794,25.609699,25.61165283094627,0.038899999,hst_9453_45_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52633.53394658561,25.129101,25.12785408906986,0.0261,hst_9453_47_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52636.40226843394,25.2523,25.25209888468125,0.0287,hst_9453_49_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52636.7406423497,25.437799,25.445038014728738,0.037300002,hst_9453_51_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52640.40434069326,25.1166,25.11754497263483,0.0263,hst_9453_41_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52644.473090491956,25.040501,25.04464239639793,0.024499999,hst_9453_53_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,52650.24182896991,25.496099,25.49795708409161,0.036200002,hst_9453_55_acs_wfc_f606w,false
106259089,11.502689361572266,40.684165954589844,ACS_F606W,55204.29098817939,25.008699,25.00825036271675,0.0337,hst_11684_04_acs_wfc_f606w,false
